Symbol,Geneid
AACS,ENSG00000081760
AAK1,ENSG00000115977
AGAP1,ENSG00000157985
ANO2,ENSG00000047617
ANO5,ENSG00000171714
APOE,ENSG00000130203
AQP10,ENSG00000143595
ARHGAP27,ENSG00000159314
ASS1P13,ENSG00000255353
ASS1P14,ENSG00000257316 
ASXL3,ENSG00000141431
ATF6,ENSG00000118217
BAG3,ENSG00000151929
BCCIP,ENSG00000107949
BCKDK,ENSG00000103507
BICD1,ENSG00000151746
BIN3,ENSG00000147439
BRINP1,ENSG00000078725
BRIP1,ENSG00000136492
BST1,ENSG00000109743
C5orf24,ENSG00000181904
CA8,ENSG00000178538
CAB39L,ENSG00000102547
CACNA1B,ENSG00000148408
CAMK2D,ENSG00000145349
CASC16,ENSG00000249231
CCDC62,ENSG00000130783
CCDC82,ENSG00000149231
CCNT2-AS1,ENSG00000224043
CD19,ENSG00000177455
CD38,ENSG00000004468
CHL1,ENSG00000134121
CHL1-AS1,ENSG00000234661
CHRNB1,ENSG00000170175
CICP26,ENSG00000233003
CLCN3,ENSG00000109572
CLRN3,ENSG00000180745
CNKSR3,ENSG00000153721
CNTN1,ENSG00000018236
COL12A1,ENSG00000111799
COL13A1,ENSG00000197467
COL3A1,ENSG00000168542
COL5A2,ENSG00000204262
CRISPLD1,ENSG00000121005
CRLS1,ENSG00000088766
CTC1,ENSG00000178971
CTSB,ENSG00000164733
CYCSP42,ENSG00000224524
CYP17A1,ENSG00000148795
CYP4Z1,ENSG00000186160
CYRIB,ENSG00000153310
DCUN1D1,ENSG00000043093
DDRGK1,ENSG00000198171
DENND2B,ENSG00000166444 
DGKQ,ENSG00000145214
DIRC1,ENSG00000174325
DLG2,ENSG00000150672
DNAH17,ENSG00000187775
DNASE1L1,ENSG00000013563
DNM1L,ENSG00000087470
DRAP1,ENSG00000175550
DSG3,ENSG00000134757
DYRK1A,ENSG00000157540
EEF1AKNMT,ENSG00000010165
EFNB1,ENSG00000090776
EHMT2-AS1,ENSG00000237080
EIF3KP1,ENSG00000175749
ELOVL7,ENSG00000164181
FAM126A,ENSG00000122591
FAM136FP,ENSG00000217178
FAM171A2,ENSG00000161682
FAM184A,ENSG00000111879
FAM47E,ENSG00000189157
FAM47E-STBD1,ENSG00000272414
FANCF,ENSG00000183161
FBRSL1,ENSG00000112787
FCGR2A,ENSG00000143226
FDFT1,ENSG00000079459
FGD4,ENSG00000139132
FYN,ENSG00000010810
GABRG2,ENSG00000113327
GAK,ENSG00000178950
GBA,ENSG00000177628
GBF1,ENSG00000107862
GCH1,ENSG00000131979
GFPT2,ENSG00000131459
GPM6B,ENSG00000046653
GPNMB,ENSG00000136235
GPR19,ENSG00000183150
GPR32,ENSG00000142511
GPR32P1,ENSG00000269565 
GPR65,ENSG00000140030
GPR89P,ENSG00000216915 
GXYLT1,ENSG00000151233
HASPIN,ENSG00000177602
HIP1R,ENSG00000130787
HLA-DQA1,ENSG00000196735
HLA-DQB1,ENSG00000179344
HLA-DRA,ENSG00000204287
HLA-DRB1,ENSG00000196126
HMGB1P13,ENSG00000220557
HSD17B1P1,ENSG00000108785 
HTR2A,ENSG00000102468
HTR2A-AS1,ENSG00000224517
IGSF11,ENSG00000144847
IGSF9B,ENSG00000080854
IL1R2,ENSG00000115590
ING1,ENSG00000153487
INO80C,ENSG00000153391
INPP5F,ENSG00000198825
IP6K2,ENSG00000068745
ISM1,ENSG00000101230
ITGA2B,ENSG00000005961
ITGA8,ENSG00000077943
ITGAE,ENSG00000083457
ITIH1,ENSG00000055957
ITPKB,ENSG00000143772
